date,COSMOS VWC
2018-09-13,22.4
2018-09-14,21.1
2018-09-15,21.0
2018-09-16,20.7
2018-09-17,20.4
2018-09-18,18.9
2018-09-19,19.2
2018-09-20,22.6
2018-09-21,29.3
2018-09-22,27.4
2018-09-23,25.6
2018-09-24,25.6
2018-09-25,24.8
2018-09-26,26.7
2018-09-27,24.1
2018-09-28,22.5
2018-09-29,23.3
2018-09-30,21.9
2018-10-01,21.2
2018-10-02,22.3
2018-10-03,20.2
2018-10-04,21.8
2018-10-05,22.2
2018-10-06,28.1
2018-10-07,28.3
2018-10-08,28.0
2018-10-09,26.6
2018-10-10,24.9
2018-10-11,23.4
2018-10-12,25.9
2018-10-13,29.4
2018-10-14,29.6
2018-10-15,30.2
2018-10-16,31.2
2018-10-17,31.0
2018-10-18,28.3
2018-10-19,28.7
2018-10-20,29.4
2018-10-21,28.4
2018-10-22,27.5
2018-10-23,26.4
2018-10-24,24.9
2018-10-25,24.2
2018-10-26,24.4
2018-10-27,24.8
2018-10-28,25.8
2018-10-29,26.0
2018-10-30,26.2
2018-10-31,25.1
2018-11-01,25.3
2018-11-02,26.4
2018-11-03,25.8
2018-11-04,24.5
2018-11-05,25.7
2018-11-06,24.2
2018-11-07,26.3
2018-11-08,28.2
2018-11-09,28.8
2018-11-10,29.2
2018-11-11,28.9
2018-11-12,28.2
2018-11-13,29.6
2018-11-14,31.1
2018-11-15,31.5
2018-11-16,30.7
2018-11-17,30.0
2018-11-18,29.8
2018-11-19,30.1
2018-11-20,33.3
2018-11-21,33.2
2018-11-22,32.4
2018-11-23,31.6
2018-11-24,30.7
2018-11-25,33.0
2018-11-26,31.6
2018-11-27,33.2
2018-11-28,34.0
2018-11-29,33.4
2018-11-30,31.6
2018-12-01,32.7
2018-12-02,31.2
2018-12-03,31.0
2018-12-04,31.1
2018-12-05,34.0
2018-12-06,33.8
2018-12-07,32.5
2018-12-08,31.7
2018-12-09,31.5
2018-12-10,30.0
2018-12-11,31.5
2018-12-12,31.8
2018-12-13,31.8
2018-12-14,31.4
2018-12-15,32.8
2018-12-16,32.8
2018-12-17,32.3
2018-12-18,33.4
2018-12-19,33.3
2018-12-20,33.0
2018-12-21,32.4
2018-12-22,31.5
2018-12-23,32.1
2018-12-24,31.1
2018-12-25,34.0
2018-12-26,33.6
2018-12-27,32.5
2018-12-28,33.9
2018-12-29,33.9
2018-12-30,33.6
2018-12-31,32.8
2019-01-01,30.9
2019-01-02,29.8
2019-01-03,29.3
2019-01-04,29.3
2019-01-05,29.2
2019-01-06,29.3
2019-01-07,29.8
2019-01-08,27.3
2019-01-09,28.5
2019-01-10,29.4
2019-01-11,27.9
2019-01-12,30.2
2019-01-13,26.8
2019-01-14,25.5
2019-01-15,26.8
2019-01-16,27.3
2019-01-17,25.8
2019-01-18,27.5
2019-01-19,30.2
2019-01-20,31.4
2019-01-21,31.3
2019-01-22,31.0
2019-01-23,31.2
2019-01-24,33.4
2019-01-25,34.2
2019-01-26,30.3
2019-01-27,31.1
2019-01-28,29.7
2019-01-29,30.3
2019-01-30,31.6
2019-01-31,32.6
2019-02-01,31.0
2019-02-02,34.5
2019-02-03,32.2
2019-02-04,33.1
2019-02-05,33.6
2019-02-06,32.1
2019-02-07,33.7
2019-02-08,33.2
2019-02-09,33.4
2019-02-10,31.9
2019-02-11,31.4
2019-02-12,33.0
2019-02-13,32.6
2019-02-14,30.1
2019-02-15,30.9
2019-02-16,31.7
2019-02-17,29.5
2019-02-18,28.6
2019-02-19,29.0
2019-02-20,31.6
2019-02-21,32.4
2019-02-22,30.2
2019-02-23,28.5
2019-02-24,29.1
2019-02-25,27.3
2019-02-26,28.7
2019-02-27,28.1
2019-02-28,27.8
2019-03-01,26.2
2019-03-02,27.1
2019-03-03,26.3
2019-03-04,27.0
2019-03-05,27.7
2019-03-06,31.4
2019-03-07,33.0
2019-03-08,34.1
2019-03-09,30.6
2019-03-10,30.9
2019-03-11,29.2
2019-03-12,31.8
2019-03-13,32.0
2019-03-14,30.9
2019-03-15,27.5
2019-03-16,32.8
2019-03-17,32.9
2019-03-18,32.2
2019-03-19,33.6
2019-03-20,30.2
2019-03-21,29.9
2019-03-22,28.3
2019-03-23,27.2
2019-03-24,27.4
2019-03-25,25.0
2019-03-26,26.6
2019-03-27,25.1
2019-03-28,24.4
2019-03-29,22.8
2019-03-30,24.2
2019-03-31,23.6
2019-04-01,22.7
2019-04-02,24.6
2019-04-03,24.8
2019-04-04,23.8
2019-04-05,23.2
2019-04-06,22.7
2019-04-07,23.9
2019-04-08,22.7
2019-04-09,21.7
2019-04-10,23.7
2019-04-11,21.4
2019-04-12,22.7
2019-04-13,21.3
2019-04-14,20.6
2019-04-15,21.1
2019-04-16,20.6
2019-04-17,19.9
2019-04-18,20.1
2019-04-19,18.5
2019-04-20,18.8
2019-04-21,17.7
2019-04-22,17.5
2019-04-23,17.7
2019-04-24,17.6
2019-04-25,19.2
2019-04-26,22.3
2019-04-27,23.8
2019-04-28,26.6
2019-04-29,26.2
2019-04-30,24.8
2019-05-01,24.5
2019-05-02,24.7
2019-05-03,25.2
2019-05-04,25.2
2019-05-05,24.8
2019-05-06,24.9
2019-05-07,27.2
2019-05-08,29.2
2019-05-09,31.1
2019-05-10,31.0
2019-05-11,28.8
2019-05-12,30.1
2019-05-13,27.6
2019-05-14,26.5
2019-05-15,23.8
2019-05-16,22.9
2019-05-17,23.0
2019-05-18,23.2
2019-05-19,21.6
2019-05-20,21.1
2019-05-21,20.1
2019-05-22,20.3
2019-05-23,20.7
2019-05-24,20.4
2019-05-25,20.2
2019-05-26,22.3
2019-05-27,21.0
2019-05-28,20.0
2019-05-29,20.3
2019-05-30,20.6
2019-05-31,20.4
2019-06-01,18.9
2019-06-02,19.6
2019-06-03,19.0
2019-06-04,21.0
2019-06-05,25.6
2019-06-06,23.0
2019-06-07,24.9
2019-06-08,27.4
2019-06-09,25.5
2019-06-10,24.1
2019-06-11,26.6
2019-06-12,30.2
2019-06-13,29.8
2019-06-14,30.1
