timestamp,06/09/2021 10:33,,,,,,,,,,,,,,,,,
site-id,SPENF,,,,,,,,,,,,,,,,,
site-name,Spen Farm,,,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
12/01/2017,32.9,0.1,4.7,77.8,3.1,0.2,4.9,994.7,-3.2,262.3,3.7,0.6,3,28.3,3.1,29.5,,0.143
13/01/2017,33.2,1.1,3.9,69.4,2,-0.1,4.7,1000.7,-2.8,294.2,5.9,1,1.5,27.8,1.6,29.3,,0.146
14/01/2017,32.3,0.1,4.3,72.3,2.9,0.1,5.5,1011.9,-2.2,289.3,3.6,0.8,1.1,,1.3,,,0.17
15/01/2017,35.8,4.8,7,91.4,6.6,2.2,10.2,1014.4,1,285.8,2.1,0.1,3.6,30.6,3.7,33,,0.133
16/01/2017,40.4,2.7,6.8,99.3,5.2,4.2,7.4,1020.9,0.7,143.1,2.1,0.1,5.2,32.2,5.2,34.7,,0.122
17/01/2017,37.5,0.1,7,97.6,5.8,4.1,7.2,1027,1,166.7,1.9,0.1,5.3,30.6,5.4,31.3,,0.12
18/01/2017,38.4,0,7.3,89.4,7.7,7.1,8.7,1029.9,0.8,259.1,1.3,0.2,6.2,29.9,6.3,30.7,,0.131
19/01/2017,37.7,0,6.5,82.9,7.2,6.1,7.9,1030.3,0.1,270.7,1,0.2,6.2,29.4,6.2,30.3,,0.116
20/01/2017,36.3,0,6,91.1,4.6,0.7,6.6,1028.4,-0.4,136.2,1.3,0.4,5.3,29.1,5.4,30.1,,0.141
21/01/2017,34.6,0,5.7,94.9,3.1,1.8,4,1022.8,-0.1,50.4,1.3,0.2,3.9,28.9,4,29.9,,0.123
22/01/2017,34.3,0,4.7,89.6,1.2,-0.9,3,1018.7,-1.3,164.1,1.8,0.4,2.7,28.8,2.8,29.9,,0.13
23/01/2017,35,0.1,4.9,87.1,2.3,0.3,4.7,1019.9,-1.4,226.1,1.4,0.4,1.8,28.6,2,29.7,,0.131
24/01/2017,37,0,5.1,97.6,0.9,-3.3,5.6,1018.5,1.1,140.3,1.6,0.4,1.5,28.5,1.6,29.6,,0.161
25/01/2017,35.2,0.1,5.4,89.3,3.3,0.6,7.6,1017.7,0.4,158.4,3.7,0.5,2,28.5,2.1,29.6,,0.162
26/01/2017,32.3,0.1,4.2,90.2,-0.6,-2.1,1.7,1012.1,0,145.1,5,0.5,1.5,28.4,1.5,29.6,,0.128
27/01/2017,34.6,1.1,4.6,95.7,-0.2,-2.4,1.8,1004.2,0.6,137.2,3.3,0.3,0.9,,1,,,0.131
28/01/2017,35.8,4,5.7,92.3,3.6,1.1,6.3,1000.4,0.1,173.6,2.9,0.2,2.6,30.7,2.7,32.8,,0.129
